Genbank Accession,Official Symbol,Z-Score,P-value,FDR,Q-value,Fold-change Mutant/Control,Endstage Mean,Endstage STD,Con D130 Mean,Con D130 STD
NM_033037,Cdo1,3.84E+00,0.004088163,0.05358623,0.250634434,7.293207732,2.255138111,1.480420474,0.309210733,0.283533294
NM_021384,Rsad2,4.469422424,0.001399964,0.028669214,0.221544966,7.277735893,1.058959333,0.587121697,0.1455067,0.144273473
NM_019992,Stap1,3.347604424,0.008304,0.082253628,0.299257719,7.228423092,0.528686744,0.393353003,0.073139983,0.089206834
NM_001042605,Cd74,3.075725497,0.011768941,0.101336433,0.319989634,7.222376336,2.337984333,1.846935668,0.323714,0.546985242
NM_207149,Olfr1010,1.86E+00,0.094439203,0.331351793,0.427775561,7.169412737,0.216898633,0.287518409,0.030253333,0.07410523
NM_011190,Psme2,2.097330889,0.062469684,0.266022493,0.405671347,7.164274951,0.351549778,0.406850842,0.049069833,0.120196053
NM_145437,4732429D16Rik,4.19E+00,0.002025899,0.035396459,0.229560491,7.11254724,1.262248111,0.738486204,0.1774678,0.194350847
NM_009828,Ccna2,5.59E+00,3.93E-04,0.01388812,0.163862041,7.062754896,0.914003,0.412780119,0.129411683,0.067662188
NM_207668,Acpp,3.83E+00,0.003371785,0.048078021,0.251984061,7.040410319,0.221633056,0.140259639,0.031480133,0.041047986
NM_134471,Kif2c,3.770689555,0.004101984,0.053642242,0.247326804,6.991250897,0.191508889,0.125103394,0.02739265,0.030532422
NM_009845,Cd22,10.47273446,1.11E-07,4.33E-04,0.0421026,6.976127053,2.380577778,0.472221858,0.341246333,0.280804077
NM_027164,Lrrc27,2.548439788,0.033166496,0.18748634,0.352687308,6.974136806,0.789127067,0.787461842,0.1131505,0.093549873
NM_001177558,,2.971740383,0.014156024,0.112965491,0.337377351,6.973273342,1.631721556,1.32950445,0.2339965,0.385906647
NM_023158,Cxcl16,4.51973901,0.001848558,0.033460823,0.234777369,6.968541755,23.69027778,13.39619018,3.399603333,1.134364867
NM_010950,Numbl,2.887109531,0.017825598,0.129735337,0.336195737,6.937053931,0.069782022,0.060024333,0.010059317,0.012865181
NM_013883,Scmh1,2.621879964,0.023272499,0.15214006,0.346062786,6.914451899,0.297324889,0.260846634,0.0430005,0.105329284
NM_152816,Dnm1l,3.278613126,0.006166345,0.068278947,0.287386281,6.906101756,1.200234444,0.781209393,0.173793333,0.425704987
NM_138956,Rassf3,7.885378083,3.74E-05,0.004206269,0.067827664,6.899803888,19.71222222,6.337618355,2.856925,0.798423989
NM_175369,Ccdc122,2.81E+00,0.02106509,0.14329962,0.335244784,6.888415398,0.593510233,0.530247686,0.086160633,0.088206953
NM_001177798,,2.072414138,0.064720295,0.270782765,0.399991093,6.87382201,0.189409311,0.219230371,0.027555167,0.067496098
NM_010577,Itga5,1.01E+01,3.96E-07,6.34E-04,0.024622548,6.835346007,0.900423889,0.201501732,0.13173055,0.089192479
NM_011309,S100a1,4.328830108,0.002342874,0.038475963,0.221312762,6.818220198,3.732475556,2.190440567,0.547426667,0.222509567
NM_001093750,Ptchd1,5.661630848,4.44E-04,0.014911864,0.145313849,6.787382789,8.192875556,3.684516562,1.207074333,0.29050167
NM_007798,Ctsb,9.75E+00,4.10E-06,0.002128986,0.02394303,6.757349554,414.7492222,105.1261713,61.3775,22.79338523
NM_030701,Gpr109a,9.615342469,8.76E-06,0.002676134,0.054870125,6.737774063,7.185053333,1.890864896,1.066383833,0.214535004
NM_001163853,,1.65E+00,0.132627576,0.394292774,0.457488062,6.689464272,0.162722333,0.241384235,0.024325167,0.059584246
NM_007754,Cpd,9.170031955,1.46E-05,0.003123703,0.054870125,6.687868205,12.58826222,3.489315867,1.882253333,0.24788868
NM_009689,Birc5,3.486469173,0.006347482,0.069446076,0.277411826,6.676774842,3.151398889,2.201631586,0.471994183,0.558784082
NM_010260,Gbp2,1.721647743,0.12245222,0.378849419,0.444448033,6.617981271,1.559788256,2.291898865,0.235689433,0.217053593
NM_001100618,LOC100043225,2.411466711,0.04200628,0.215264191,0.366536157,6.595269651,3.539773556,3.723030725,0.536714,0.253704964
NM_001102455,Aplp2,4.97E+00,8.00E-04,0.020781858,0.154271342,6.591987115,21.12798889,10.52342845,3.205101667,2.032919032
NM_011150,Lgals3bp,10.29995185,2.70E-06,0.001732134,0.034277776,6.584082161,27.5841,6.596609855,4.189513333,1.394079469
NM_145830,Ehmt2,2.582218413,0.024549309,0.156824763,0.354843511,6.553958492,0.249721111,0.217668435,0.038102333,0.093331275
NM_007950,Ereg,1.02026216,0.336973273,0.620845031,0.54051373,6.547920401,0.182195067,0.451961649,0.027824875,0.034331343
NM_007535,Bcl2a1c,2.959933981,0.015959585,0.121316806,0.313862338,6.534341106,0.369166967,0.307194806,0.056496433,0.063554627
NM_007421,Adssl1,9.241303888,1.78E-06,0.001650277,0.043270683,6.530545924,0.981111778,0.170411064,0.150234267,0.170710125
NM_009516,Wee1,5.499200777,3.05E-04,0.0120379,0.156744825,6.5093922,0.471928222,0.207403037,0.072499583,0.054559987
NM_133198,Pygl,6.575519984,8.29E-05,0.005872203,0.099370572,6.487116532,1.633859333,0.603279066,0.251862183,0.149685897
NM_023284,Nuf2,6.540697284,1.90E-05,0.003432714,0.078041068,6.481957863,0.465775667,0.139110537,0.07185725,0.094136532
NM_007659,Cdc2a,3.16E+00,0.011756835,0.101336433,0.309707775,6.464007965,0.340133944,0.2656671,0.052619667,0.050813404
NM_001033132,Commd6,2.91E+00,0.015695646,0.120027796,0.339488635,6.461386304,0.909916111,0.746354109,0.140823667,0.219585328
NM_021886,Cenph,3.10072134,0.011936969,0.101975717,0.300690957,6.431938646,0.2360827,0.184136482,0.03670475,0.04693791
NM_026785,Ube2c,2.18572854,0.053362903,0.244966375,0.399481611,6.427661223,0.644161889,0.697887324,0.10021715,0.216554631
NR_028590,,2.947354559,0.016930171,0.126032165,0.332664079,6.406123775,0.294844089,0.247960084,0.04602535,0.042095174
NM_177718,1600021P15Rik,5.78E+00,6.87E-05,0.005462848,0.147542816,6.404653149,0.680113,0.246417308,0.10619045,0.13633829
NM_178199,Hist1h2bl,2.70E+00,0.019272767,0.135605452,0.339218898,6.364044777,0.119260078,0.096640464,0.018739667,0.045902621
NM_001013833,Prkg1,3.593351819,0.005193871,0.061323092,0.267372472,6.359992985,0.303219556,0.202663037,0.047676083,0.054433976
NM_146188,Kctd15,1.74E+00,0.116176889,0.368818546,0.445979604,6.344228099,0.06669687,0.094425537,0.010513,0.016984309
NM_020561,Smpdl3a,6.52E+00,7.00E-05,0.005508257,0.088256805,6.328106573,2.45353,0.89528138,0.38771945,0.261646054
NM_008321,Id3,3.00E+00,0.012711633,0.105284421,0.330327951,6.316575424,0.087573633,0.068199032,0.0138641,0.022642564
NM_001101561,,4.094226428,0.001808723,0.033046838,0.252387582,6.295101918,1.325916333,0.518237703,0.210626667,0.51592786
NM_010615,Kif11,6.775392479,3.20E-05,0.004188778,0.073354347,6.265666074,0.741234667,0.25115485,0.118301017,0.093091018
NM_198866,Dbpht2,2.35626475,4.21E-02,0.215484518,0.381450426,6.235514142,0.305985856,0.314465127,0.049071472,0.073523599
NM_007490,Art2a,1.49921011,0.166705623,0.445186281,0.471300034,6.226464636,0.100519111,0.161744053,0.01614385,0.039544195
NM_018729,Cd244,8.467811068,5.48E-06,0.002214311,0.045633366,6.200793939,3.186546667,0.877088436,0.513893333,0.291305628
NM_009895,Cish,1.765337044,0.110858159,0.360092625,0.438783449,6.191284433,0.061938022,0.085218351,0.010004067,0.018743571
NM_178212,Hist2h2aa2,1.36E+00,0.207363159,0.494530196,0.483821459,6.185819905,0.174358778,0.315642308,0.02818685,0.050475451
NM_010864,Myo5a,1.14E+01,5.40E-07,7.02E-04,0.036426419,6.181755901,10.40689333,2.162650528,1.683485,0.614994406
NM_028712,Rap2b,8.04E+00,1.70E-05,0.003303052,0.047328861,6.177605496,9.833458889,2.948977387,1.591791333,0.713345478
NM_146446,Olfr215,2.35E+00,0.037788692,0.202801916,0.382524397,6.176702711,0.209920389,0.200349137,0.033985833,0.08324795
NM_001039106,Ddhd1,7.44929628,7.48E-06,0.002533838,0.053115044,6.176542204,3.146842222,0.920024304,0.509482833,0.433330656
