,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
CDK5R1,-0.174314801,0.008921817,0.256684251,0.071973846,-0.393555855,3.93E-05,-2.024233817,0.007161191,0.143119411,0.032286226
GLTP,0.216743333,0.000612969,0.506341456,0.00011072,0.461318798,0.000278366,1.832985099,0.007196324,-0.257776373,0.256076189
DOCK9,0.069796855,0.667874944,0.003632542,0.990037158,-0.197443994,0.330259623,-1.424984816,0.00750279,-0.144073586,0.521449372
MYO1A,-0.023798787,0.471187759,0.015414354,0.97902551,-0.010029487,0.920280697,-4.597145788,0.00750279,0.040770407,0.615548396
RASGEF1B,0.272428926,0.158712909,-0.011598729,0.978921257,0.244950849,0.084425493,2.30895587,0.00750279,0.067953564,0.673896734
TIMD4,0.293696784,0.025358214,-0.146299692,0.089514229,-0.058248365,0.604240941,4.592740304,0.00750279,0.10283881,0.143691713
CLEC12A,0.032806033,0.391065516,-0.010093602,0.948014292,0.004553528,0.965884339,3.931271892,0.007567408,0.006786567,0.938949156
FMR1NB,-0.053923933,0.411519405,0.480965301,0.148861398,0.057057082,0.657757923,7.294470512,0.007860602,-0.007490095,0.964152997
APBB2,0.139129101,0.438072512,1.634782353,1.72E-10,0.107447067,0.529658852,1.813811841,0.007882182,-0.149858883,0.080221076
CCNA2,0.185955971,0.424756248,0.045812393,0.916517831,0.040542047,0.717615504,2.86304888,0.008053988,-0.021205589,0.791076204
ST3GAL5,0.00721183,0.959381594,-0.579908679,0.000175646,-0.140474801,0.451782062,-1.164459046,0.008194692,-1.165638325,2.52E-06
CD68,0.045291795,0.78897817,0.889363048,0.000121814,0.344884946,0.004001841,1.768795499,0.008363584,-0.132066017,0.435785967
GPR56,-0.200451817,0.142975261,-1.026978276,4.68E-05,-0.156606192,0.461452248,-1.50880108,0.008633514,-0.349651721,0.091542174
BTG2,-0.188141205,0.446028263,0.414130781,0.006678977,-0.317101506,0.005343142,-1.192465733,0.008635789,0.962941054,0.005299414
CXCL13,3.262941555,3.24E-11,-0.208548094,0.532472125,0.655944275,0.000409887,3.947984228,0.008635789,0.045482032,0.527414601
TMEM51,0.068004233,0.164490963,2.307692769,4.11E-06,-0.055581475,0.689667493,6.84668162,0.008798642,0.012328074,0.935066644
IGF1,0.480453675,0.004037313,3.79523128,4.31E-10,1.024318101,8.10E-12,1.292970006,0.009196228,0.016028749,0.943548497
C5AR1,0.017029549,0.743344679,0.564732408,0.005443951,-0.399693266,0.016618017,1.622788963,0.009205276,2.509013169,8.23E-09
ATF5,0.047030208,0.845478288,0.758769846,2.19E-06,0.452029031,0.025965717,2.151444523,0.009404041,0.59392214,0.008846626
CCNB2,-0.026606018,0.579164427,0.206268122,0.677976923,-0.017562813,0.848172185,3.30526287,0.009404041,0.026009257,0.695107174
ZFP595,-0.038071754,0.586773124,-0.298534567,0.431883292,0.01072607,0.976580993,-1.518776803,0.009799904,0.168761361,0.2412108
ADCY8,-0.02402571,0.755550276,-0.311575451,0.039461295,-0.095956376,0.235772523,-2.114277871,0.010336196,-0.020694532,0.852193391
EFNB2,-0.000632465,0.994057482,-0.025617082,0.95098559,-0.035819237,0.864717612,3.747008792,0.010336196,0.068676766,0.437650335
CTSE,1.59476172,1.18E-07,2.066976557,4.31E-08,0.378498486,0.000697412,1.910064254,0.010789824,0.041343343,0.520593087
HIST1H1C,-0.042274134,0.920304241,0.733065088,0.008005948,0.389578738,0.317006012,2.250223142,0.011347758,-1.530527785,0.000314448
NEFL,0.011268359,0.796379785,-0.555267611,7.18E-05,-0.032865885,0.58536759,-1.671153116,0.011378454,0.032559171,0.738404686
H2-AB1,1.536646181,2.46E-06,0.873005861,0.056217376,1.433527557,6.89E-06,3.801678143,0.01163318,0.045567686,0.856834912
CD83,0.312342354,0.000417241,0.057312122,0.91550063,1.267862681,3.16E-08,2.096592588,0.0117782,3.198318616,8.03E-11
