"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Tspan14",1,0.405046079468198,0.301705063126383,0.377171215880893,0.354501198866526,"down-regulated","down-regulated"
"Tspan15",1,0.0107266958755099,0.012755434075231,0.0136121942573555,0.0269563321950156,"down-regulated","notAll"
"Tspan33",1,0.108702220879287,0.103605362488611,0.119390287132223,0.142338153018964,"down-regulated","down-regulated"
"Tspan4",1,0.192325124641184,0.251334114278277,0.141084721729883,0.286129477584829,"down-regulated","notAll"
"Tspo",1,0.375207735307448,0.412989717558245,0.282169443459766,0.313667078398605,"up-regulated","up-regulated"
"Ttyh1",1,0.0241728357757969,0.0183522061694651,0.0226160935838355,0.0430138777882729,"down-regulated","down-regulated"
"Tuba1a",1,0.413431031877927,0.382663022256931,0.427295285359801,0.484632710891521,"down-regulated","down-regulated"
"Tuba1b",1,0.546683789092008,0.440322790576598,0.477348457993619,0.521833902492189,"down-regulated","down-regulated"
"Txn1",1,0.267789696328751,0.22530261616556,0.247004608294931,0.242243696868415,"down-regulated","down-regulated"
"Ubc",1,2.21755552198217,6.14968111414812,2.25480326125487,6.30952553948994,"down-regulated","notAll"
"Ubl3",1,0.425064209095029,0.44657035012365,0.402977667493797,0.539998546828453,"down-regulated","notAll"
"Ubxn1",1,0.325426801631666,0.327606403748536,0.315561857497341,0.282641865872266,"up-regulated","up-regulated"
"Uqcrh",1,0.78093367578184,0.822855655342965,0.647997164126196,0.70566010317518,"up-regulated","up-regulated"
"Usp35",1,0.0793926575011331,0.0480281140179617,0.0631690889755406,0.07847126353266,"down-regulated","down-regulated"
"Usp8",1,0.231530442665055,0.185995054015359,0.223112371499468,0.22233524667587,"down-regulated","down-regulated"
"Vamp8",1,0.585284786221484,0.511518937914877,0.56944345976604,0.542759572767565,"down-regulated","down-regulated"
"Vasp",1,0.307523795135217,0.293765456202004,0.29911378943637,0.359805275012715,"down-regulated","down-regulated"
"Vav1",1,0.367276023568515,0.279708447221138,0.3837646224743,0.348034585482816,"down-regulated","down-regulated"
"Vim",1,0.161127058468047,0.163998438110113,0.164622474299894,0.174889195669549,"down-regulated","notAll"
"Vps18",1,0.194591327995165,0.223610568788234,0.186387805742644,0.288454552059871,"down-regulated","notAll"
"Vps37b",1,0.181825049101073,0.18495379409085,0.188585607940447,0.235341132020635,"down-regulated","notAll"
"Vps4b",1,0.161202598579846,0.129246388129637,0.170577809287487,0.149821986485505,"down-regulated","down-regulated"
"Vtn",1,0.420305182051669,0.3052193153716,0.659269762495569,0.636707113274722,"down-regulated","down-regulated"
"Wdfy2",1,0.100090648134159,0.0775738643758948,0.100460829493088,0.1175615781443,"down-regulated","down-regulated"
"Wdr44",1,0.163846502492824,0.111284654431863,0.14420418291386,0.154326818280898,"down-regulated","down-regulated"
"Whrn",1,0.153270886840913,0.110503709488481,0.181566820276498,0.167841313667078,"down-regulated","down-regulated"
"Wls",1,0.229944100317268,0.167642847845894,0.216518964906062,0.200029063430938,"down-regulated","down-regulated"
"Wnt6",1,0.00128418190058921,0.000780944943381492,0.00141793690180787,0.00530407614618906,"down-regulated","down-regulated"
"Ypel3",1,0.638918265599033,0.51997917480151,0.595675292449486,0.592458039671583,"down-regulated","down-regulated"
"Ywhae",1,0.701843178727904,0.598333984120786,0.666501240694789,0.681537455496621,"down-regulated","down-regulated"
"Ywhah",1,1.29445535579393,0.818169985682676,1.25629209500177,0.906343093802223,"down-regulated","down-regulated"
"Zbtb18",1,0.112177066022058,0.0934530782246518,0.136405529953917,0.126280607425707,"down-regulated","down-regulated"
"Zbtb7a",1,0.26552349297477,0.262267343485618,0.27571783055654,0.31388505413064,"down-regulated","down-regulated"
"Zfand5",1,0.703127360628494,0.960432122868671,0.842467210209146,0.991208312141248,"down-regulated","notAll"
"Zfhx3",1,0.81190512161958,0.66822855655343,0.846295639844027,0.790234687204824,"down-regulated","down-regulated"
"Zfp706",1,0.378758120562018,0.341272940257712,0.360723147819922,0.419603284167696,"down-regulated","down-regulated"
"Zfp710",1,0.213249735609609,0.151633476506573,0.200283587380362,0.222916515294631,"down-regulated","down-regulated"
