gene	Arf1_WT.signed.value	DAM.signed.value
Akna	-0.0278398581543799	-2.45898635407938
Akr1b10	-0.22434939322212	0.224079743995388
Akr1e1	-0.00460293194094294	0.455337987897907
Akr7a5	0.0002848889245642	-0.580820360759097
Akt1	-0.0125172363347145	-0.416507443634854
Akt3	-4.40373807612023e-05	-0.73727054202147
Alad	0.0215607571914098	-0.557313449431602
Alas1	0.0062934022699345	2.27529300256241
Aldh16a1	-6.83393957398969e-05	-0.344348597602206
Aldh2	0.00258085407993244	0.506638191484488
Aldh3a2	-0.0561274248141467	0.0329476542410804
Aldh6a1	-0.00273859826160189	0.0497715456155028
Aldh9a1	-0.00878411992493517	0.262501597042194
Aldoa	0.206630100180283	-2.12611568167668
Alg1	-0.000190797822913944	-0.315597112299065
Alg10b	0.000983743749350805	-0.42165160119953
Alg11	-0.0179511393111391	0.306132867944348
Alg2	0.00590633755664901	0.473554517666186
Alg5	0.387748181954526	1.63513955161265
Alg6	-0.000155489912920473	-0.498692760604989
Alkbh1	0.0192011514278626	0.0608976103657589
Alkbh5	-0.0235936688748731	0.155032812802261
Alkbh7	-0.00762538441268557	0.234344974406499
Alkbh8	-0.000530536720570518	-1.474445172468
Alox5ap	0.358737257554967	-6.83223421689265
Alpk1	0.00898414955695746	-0.0123831295318539
Als2	-0.00229287055455374	-0.20845633262702
Amacr	-0.000581714717818908	-2.41552039819047
Ambra1	-0.0317212390781467	-0.344341639949668
Amfr	-0.118724067572232	0.247603435001428
Ammecr1l	-0.0126375899920586	-1.1453396834819
Amotl1	-0.00241919312418506	-0.423003949828869
Ampd3	-0.000772999223528313	-1.62420171106253
Amz1	-0.10331852481063	-0.0943904428091555
Amz2	-0.000726343363110647	-0.00567154139452287
Anapc1	-0.107878868277122	0.307676685959791
Anapc13	-0.0780033927353681	2.07031171219627
Anapc16	1.70099569929043	0.251092397355537
Anapc2	-0.0888587833445918	0.235265676910244
Anapc5	-8.02464019470064e-05	-1.76843057151856
Angel2	-0.0360041806424194	0.296675901765214
Angptl7	0.00226346234794696	-0.660688368545582
Ank	0.0663864971913507	118.778982655499
Ank2	-0.505871712656124	0.173149380072871
Ankfy1	-0.103969471391346	0.32650044256998
Ankhd1	-0.0123024929201006	0.0761750606846565
Ankib1	-0.0699048998579989	-1.61154479677133
Ankle2	0.000962679251409354	0.378828842452289
Ankra2	-0.00028271223825227	-0.285636268726825
Ankrd10	-0.0259030329166922	0.0497990317348308
Ankrd11	-0.00491979479519822	-1.42380790994963
Ankrd12	-0.0521389209357759	-0.0102668631913706
Ankrd13a	-0.129641157172176	0.166871448750215
Ankrd16	0.0050079290738666	1.59716729567495
Ankrd17	-0.617453022431494	0.25029639340912
Ankrd26	-0.00403702305027219	-0.21303900470499
Ankrd27	-0.0129521677556042	-0.0647353034269304
Ankrd28	-0.0148876405229596	0.0465472258118731
Ankrd40	-0.0691822353826276	-0.573207683789866
Ankrd44	-0.776538040786343	-0.215450422576581
Ankrd46	-0.00499523628603296	1.37169935684686
Ankrd49	-0.00025254093170388	0.0198938688631084
Anks1	-0.0407788770503862	-0.0646819205418128
Anks3	-0.0301359371093757	-0.709556649672067
Ano6	-0.173051827164103	-0.286156902786114
Anp32a	-0.417162283946485	0.130901105458173
Anp32b	0.30574859246194	0.47678324524497
Anxa3	-0.211147754642877	-1.17288073487156
Anxa4	0.0113535204582654	-1.55040593703654
Ap1b1	-0.0569372646837772	-0.215185663276371
Ap1g1	-0.137064345751619	0.0369274469969308
Ap1m1	-0.00269658800975501	-0.228512904310439
Ap1s2	0.0712491968157061	-0.0513395901402861
Ap2m1	-0.0254067865559811	0.275354722843262
Ap2s1	-0.0689125461278951	-3.45375143617384
Ap3b1	-0.0341698372552997	0.0209535565953329
Ap3d1	-0.00831339473034761	-1.1972975490105
Ap3m1	-0.0126187457942619	-0.61045307887788
Ap4b1	-0.00213980845715492	-0.839880698454316
Ap4s1	-0.0106246176157216	-0.281460962152342
Apaf1	0.00119459007685057	-0.0126940151968276
Apbb1	0.00404174046985329	0.0245772532794659
Apbb1ip	-3.44447187162632	1.74768656757838
Apbb2	-0.000614136179133368	19.4449472841417
Apc	-0.281663085201681	-0.320038431062359
Apeh	-0.00700770914253036	-0.0119612924932718
Apex1	-0.00187223225668611	-2.52643527191563
Aph1a	-0.000524789250474529	-0.328711507808971
Api5	-0.00816551686592427	0.257336351663423
Apip	-0.00192158642829127	0.322932013933958
Aplp2	0.637481354779909	16.6573403839331
Apobec1	-6.6062243724204e-06	0.0923563501901993
Apoe	280.709245207354	111.53673198175
Apool	-0.0142689117956978	0.803613707088482
App	-0.00810976191098943	0.202004458343322
Appl1	-0.00944710589934534	0.0830810267388689
Aprt	0.0154578047034053	1.78933549337176
Aptx	0.00513710728993313	0.0329049336356956
Araf	-0.0161235071087843	-0.267238174317834
Arap1	-0.256772455986605	-0.808311335042463
Arap2	-0.0168060415554481	3.27320796968474
Arap3	-1.18841956809588	-3.33881723988399
Arcn1	-0.0541008355023215	0.00879784270100386
Arf1	-31.136853408788	0.455289328649438
Arf2	-0.0131333944844785	-0.308827753686917
Arf3	-0.0605849475234485	-0.686748108837386
Arf4	0.0428829724363386	1.00235675228025
Arf5	0.0464501581115874	-0.676631272702906
Arf6	0.104166076661632	0.00293354958867695
Arfgap2	-0.0672842061806049	0.261128334386073
Arfgef1	-0.24632869178241	0.747463980532436
Arfgef2	-0.00159437680919835	-0.180457387662477
Arfip1	-0.0234169772144376	0.0219537375733524
Arfip2	0.0332212064177759	-0.0112156431230306
Arfrp1	0.00073241243240579	-0.00286240537147183
Arglu1	0.00674507017578547	0.848563414297188
Arhgap12	-0.129128280143666	-0.497374972066316
Arhgap17	-0.479946925357496	0.151322867677488
Arhgap18	-0.0803140369762034	-1.91668948755383
Arhgap19	-0.000611913709519926	-0.841168021198046
Arhgap22	-0.0111720285018626	-0.383281262140442
Arhgap25	-0.0204648951472532	1.01406376293409
Arhgap26	0.0150422365093365	1.82675506044934
Arhgap27	-0.938163071699139	-2.84434586445934
Arhgap30	-0.00843808395411342	-0.474434643925973
Arhgap31	-0.489167741316666	0.210078541930652
Arhgap32	-0.0773200469111672	0.10781221731491
Arhgap39	-0.0346149716111646	1.54659002852294
